selling_type,property_type,link,name,society_name,bhk,price_cr,avg_price_per_sqft,builtup_area_sqft,locality,city,features_clean,facility_count,facility_category
Resale,Apartment,https://housing.com/buy-1500-sqft-3-bhk-apartment-in-shela-for-rs-6500000-rid-18242345,3 BHK Flat  in Shela,Shilp Revanta,3.0,0.65,4330.0,1500,Shela,ahmedabad,"Gym, Lift, Parking, Power Backup",4,Standard
Resale,Apartment,https://housing.com/buy-700-sqft-2-bhk-apartment-in-shela-for-rs-5800000-rid-20247764,"2 BHK Flat  in Shela, Ahmedabad",Vishwanath Maher Homes,2.0,0.58,8290.0,700,Shela,ahmedabad,"Natural Light, Good Cross ventilation, Park Facing, Gated Community",4,Standard
Resale,Apartment,https://housing.com/buy-1700-sqft-3-bhk-apartment-in-bopal-for-rs-8500000-rid-19880569,"3 BHK Flat  in Bopal, Ahmedabad",Ashapura Samanvay Scintilla,3.0,0.85,5000.0,1700,Bopal,ahmedabad,"Natural Light, Vastu Compliant, Swimming Pool, 24*7 Security",4,Standard
Resale,Apartment,https://housing.com/buy-1745-sqft-3-bhk-apartment-in-shela-for-rs-8800000-rid-20176549,"3 BHK Flat  in Shela, Ahmedabad",Reflection,3.0,0.88,5040.0,1745,Shela,ahmedabad,"Natural Light, Vastu Compliant, Gymnasium, Community Hall",4,Standard
Resale,Apartment,https://housing.com/buy-1700-sqft-3-bhk-apartment-in-ghuma-for-rs-6500000-rid-19654315,3 BHK Flat  in Ghuma,Siddhi Priya Imperial,3.0,0.65,3820.0,1700,Ghuma,ahmedabad,"Natural Light, Close to Grocery Store, Power Backup, Gated Community",4,Standard
Resale,Apartment,https://housing.com/buy-1100-sqft-2-bhk-apartment-in-jagatpur-for-rs-5000000-rid-19584256,"2 BHK Flat  in Jagatpur, Ahmedabad",Godrej Green Glades,2.0,0.5,4550.0,1100,Jagatpur,ahmedabad,"High Ceiling, Close to KD Hospital - Best Multispeciality Hospital in Ahmedabad, Library",3,Standard
New Booking,Apartment,https://housing.com/buy-950-sqft-2-bhk-apartment-in-chandlodia-for-rs-5251000-rid-19871801,"2 BHK Flat  in Chandlodia, Ahmedabad",Saanvi Aarambh Vistara,2.0,0.5251,5530.0,950,Chandlodia,ahmedabad,"Natural Light, Park Facing, Close to Grocery Store, Vastu Compliant",4,Standard
Resale,Apartment,https://housing.com/buy-850-sqft-3-bhk-apartment-in-shela-for-rs-7000000-rid-20242514,"3 BHK Flat  in Shela, Ahmedabad",Sun Atmosphere,3.0,0.7,8240.0,850,Shela,ahmedabad,"Natural Light, Good Cross ventilation, 24*7 Security, Gated Community",4,Standard
New Booking,Apartment,https://housing.com/buy-2200-sqft-3-bhk-apartment-in-vishala-for-rs-8000000-rid-19239061-v2,"3 BHK Flat  in Pravinnagar, Vishala",Pravinnagar,3.0,0.8,3640.0,2200,Vishala,ahmedabad,"Natural Light, Lift, Power Backup, Children Play Area",4,Standard
Resale,Apartment,https://housing.com/buy-1665-sqft-3-bhk-apartment-in-gota-for-rs-9500000-rid-19876567,"3 BHK Flat  in Gota, Ahmedabad",Aaryan City,3.0,0.95,5710.0,1665,Gota,ahmedabad,"Vastu Compliant, Close to Global Indian International School In Ahmedabad - Best Internation",2,Basic
Resale,Apartment,https://housing.com/buy-1760-sqft-3-bhk-apartment-in-shela-for-rs-9000000-rid-20178160,"3 BHK Flat  in Shela, Ahmedabad",Vishwanath Sarathya West,3.0,0.9,5110.0,1760,Shela,ahmedabad,"Natural Light, Vastu Compliant, Fresh Construction, Swimming Pool",4,Standard
