city,locality,latitude,longitude
ahmedabad,Shela,23.0108213,72.4427119
ahmedabad,Bopal,23.0385802,72.4587752
ahmedabad,Ghuma,23.0295113,72.4506006
ahmedabad,Jagatpur,23.0991611,72.5517013
ahmedabad,Chandlodia,23.0836489,72.5520835
ahmedabad,Vishala,22.9954909,72.5335463
ahmedabad,Gota,23.1010002,72.5408363
ahmedabad,Vaishno Devi Circle,23.160401,72.5425111
ahmedabad,Shantigram,23.160401,72.5425111
ahmedabad,Bodakdev,23.0445921,72.517344
ahmedabad,Vasna,23.0020055,72.5472413
ahmedabad,Chandkheda,23.1100643,72.5811205
ahmedabad,South Bopal,23.0235385,72.470527
ahmedabad,Jodhpur,23.0169268,72.5204317
ahmedabad,Prahlad Nagar,22.9999369,72.5050111
ahmedabad,Nirnay Nagar,23.0697965,72.5524459
ahmedabad,Paldi,23.0145531,72.5635432
ahmedabad,Science City,23.077854,72.494798
ahmedabad,Ambawadi,23.0226117,72.5490834
ahmedabad,Satellite,23.0241524,72.5324576
ahmedabad,Sola,23.069237,72.5111307
ahmedabad,Shilaj,23.0544372,72.4720756
ahmedabad,Tragad,23.1283467,72.558657
ahmedabad,Ramdev Nagar,23.0264444,72.5120935
ahmedabad,Thaltej,23.0485393,72.511742
ahmedabad,Naranpura,23.0567133,72.5508575
ahmedabad,Chharodi,23.0393458,72.2748933
ahmedabad,Makarba,22.996342,72.5043085
ahmedabad,Vastrapur,23.0400861,72.5290418
ahmedabad,Motera,23.0917717,72.5973345
ahmedabad,Shyamal,23.0154366,72.5292622
ahmedabad,Ognaj,23.1177924,72.5136803
ahmedabad,Maninagar,22.9986596,72.6114013
ahmedabad,Ghatlodiya,23.075569,72.549728
ahmedabad,Science Park,23.0796054,72.4947908
ahmedabad,Ellisbridge,23.0231657,72.5602628
ahmedabad,Bhat,23.1170709,72.6283409
ahmedabad,Memnagar,23.0516973,72.535169
ahmedabad,Vastral,22.9948656,72.6624431
ahmedabad,Ambli,23.0287179,72.481643
ahmedabad,Vikram Nagar,23.0474805,72.5437932
ahmedabad,Hanspura,23.0810804,72.6819875
